source_id,kind,location,access_method,researched_at,research_item,notes
S-021,local_repo,/home/jones/dev/north-cloud/rfp-ingestor/main.go,filesystem (Read),2026-05-06,R-003,Daemon (ticker) bootstrap
S-022,local_repo,/home/jones/dev/north-cloud/rfp-ingestor/internal/elasticsearch/indexer.go,filesystem (Read),2026-05-06,R-003,ES bulk write via raw HTTP NDJSON
S-023,local_repo,/home/jones/dev/north-cloud/rfp-ingestor/internal/elasticsearch/mapping.go,filesystem (Read),2026-05-06,R-003,Self-contained mapping definition
S-024,local_repo,/home/jones/dev/north-cloud/rfp-ingestor/internal/domain/rfp.go,filesystem (Read),2026-05-06,R-003,Document envelope shape
S-025,local_repo,/home/jones/dev/north-cloud/rfp-ingestor/internal/ingestor/ingestor.go,filesystem (Read),2026-05-06,R-003,Run-once + ticker orchestration
S-026,local_repo,/home/jones/dev/north-cloud/docs/specs/rfp-ingestor.md,filesystem (Read),2026-05-06,R-003,Spec documenting bypass rationale
S-027,local_repo,/home/jones/dev/north-cloud/rfp-ingestor/CLAUDE.md,filesystem (Read),2026-05-06,R-003,Service-local CLAUDE.md
S-028,local_repo,/home/jones/dev/indigenous-taxonomy/,filesystem (Read),2026-05-06,R-004,Sibling repo holding the controlled vocabulary
S-029,local_repo,/home/jones/dev/indigenous-taxonomy/schema/regions.yaml,filesystem (Read),2026-05-06,R-004,Region hierarchy source (children: keys)
S-030,local_repo,/home/jones/dev/indigenous-taxonomy/schema/categories.yaml,filesystem (Read),2026-05-06,R-004,Category list source
S-031,local_repo,/home/jones/dev/indigenous-taxonomy/generated/go/taxonomy/,filesystem (Read),2026-05-06,R-004,Generated Go package surface
S-032,local_repo,/home/jones/dev/indigenous-taxonomy/generated/go/taxonomy/regions.go,filesystem (Read),2026-05-06,R-004,Region type alias and constants
S-033,local_repo,/home/jones/dev/indigenous-taxonomy/generated/go/taxonomy/categories.go,filesystem (Read),2026-05-06,R-004,Category type alias and constants
S-034,local_repo,/home/jones/dev/indigenous-taxonomy/generated/go/taxonomy/version.go,filesystem (Read),2026-05-06,R-004,Package version (currently 1.0.0)
S-035,local_repo,/home/jones/dev/indigenous-taxonomy/scripts/generate.py,filesystem (Read),2026-05-06,R-004,Code generator (does not currently emit ParentRegion)
S-036,local_repo,/home/jones/dev/indigenous-taxonomy/CLAUDE.md,filesystem (Read),2026-05-06,R-004,Versioning conventions (additive vs breaking)
S-037,local_repo,/home/jones/dev/north-cloud/infrastructure/indigenous/region.go,filesystem (Read),2026-05-06,R-004,Hand-rolled NC shim (continental-scale only)
S-038,local_repo,/home/jones/dev/north-cloud/publisher/internal/router/indigenous.go,filesystem (Read),2026-05-06,R-004,Publisher's region-slug routing (uses NC shim)
S-039,local_repo,/home/jones/dev/north-cloud/CLAUDE.md,filesystem (Read),2026-05-06,R-004,Repo CLAUDE.md mandate (NC must import indigenous-taxonomy; aspirational)
